IPStart,IPEnd,Country,Publish_Date,Comment,Latitude,Longitude
0.0.0.0,0.255.255.255,US,01/02/09,long,42.5,54
1.0.0.0,1.0.0.255,AU,02/03/09,checkout,24,1.5
1.0.1.0,1.0.3.255,CN,02/03/09,in,33,65
1.0.4.0,1.0.7.255,AU,05/03/08,im,17,-61.8
1.0.8.0,1.0.15.255,CN,06/03/09,how,18,-63.23
1.0.16.0,1.0.31.255,JP,07/03/09,hello,41,20
1.0.32.0,1.0.63.255,CN,08/03/09,I,40,45
1.0.64.0,1.0.127.255,JP,09/04/09,are,12,-68.2
1.0.128.0,1.0.255.255,TH,10/04/09,aching,-14,18.5
1.1.0.0,1.1.0.255,CN,11/04/09,confused,-17,101
1.1.1.0,1.1.1.255,AU,12/04/09,admire,-10,-170
1.1.2.0,1.1.63.255,CN,13/04/09,love,-54,-68.75
1.1.64.0,1.1.127.255,JP,14/04/09,hated,-21,-69.67
1.1.128.0,1.1.255.255,TH,15/04/09,compared,-10,45
1.2.0.0,1.2.2.255,CN,16/04/09,hated,62,114.667
1.2.3.0,1.2.3.255,AU,17/04/09,buy,46,-88.75
1.2.4.0,1.2.127.255,CN,18/04/09,not,-1,-71
1.2.128.0,1.2.255.255,TH,19/04/09,were,13,-159.7667
1.3.0.0,1.3.255.255,CN,20/04/09,love,-87,-72
1.4.0.0,1.4.0.255,AU,21/04/09,not,-34.5,-84
1.4.1.0,1.4.127.255,CN,22/04/09,admire,87.4,-61.33
1.4.128.0,1.4.255.255,TH,23/04/09,not,64.3,-70.666
1.5.0.0,1.5.255.255,JP,24/04/09,hated,22.3,-77.5
1.6.0.0,1.7.255.255,IN,25/04/09,compared,12.5,26
1.8.0.0,1.8.255.255,CN,26/04/09,were,24.7,30
1.9.0.0,1.9.255.255,MY,27/04/09,buy,-81.3,-53
1.10.0.0,1.10.9.255,CN,28/04/09,not,-22.5,-2
1.10.10.0,1.10.10.255,AU,29/04/09,can,-12.2,-233.5
1.10.11.0,1.10.127.255,CN,30/04/09,hated,-22.9,23.6
1.10.128.0,1.10.255.255,TH,01/05/09,confused,11.6,-98.4
1.11.0.0,1.11.255.255,KR,02/05/09,aching,-44.8,13.8
